,Popularity,Region,TERM,Full Form | Definition | Meaning,MainCategory,SubCategory
16074,40,Nepal,PU,Pokhara University,Academic & Science,Universities & Institutions
16075,40,United,PU,Point University,Academic & Science,Universities & Institutions
16076,40,India,PU,Pondicherry University,Academic & Science,Universities & Institutions
16077,40,United,PU,Princeton University,Academic & Science,Universities & Institutions
16078,40,United,PU,Purdue University,Academic & Science,Universities & Institutions
16079,40,Pakistan,PU,Punjab University,Academic & Science,Universities & Institutions
16080,40,India,PU,Pacific University,Academic & Science,Universities & Institutions
16081,40,Guatemala,PU,Partido Unionista,Governmental,Politics
16082,30,Worldwide,PU,Perineal Urethrostomy,Animal Kingdom,Pets & Domesticated
16083,20,Bulgaria,PU,Plovdiv University,Academic & Science,Universities & Institutions
16084,20,Uruguay,PU,PLUNA,Transport & Travel,Airline Codes
16085,20,United,PU,Phillips University,Academic & Science,Universities & Institutions
16086,20,Nepal,PU,Purbanchal University,Academic & Science,Universities & Institutions
16087,90,Worldwide,PUBG,PlayerUnknown’s BattleGrounds,Computing,Games & Entertainment
16088,80,Worldwide,PUC,Public Utilities Commission,Governmental,Departments & Agencies
16089,60,Worldwide,PUC,Personal Unblocking Code,Technology,Communication
16090,50,India,PUC,Pollution Under Control,Governmental,Rules & Regulations
16091,50,United,PUC,Presidential Unit Citation,Governmental,Military
16092,40,United,PUC,Pacific Union College,Academic & Science,Universities & Institutions
16093,40,Ghana,PUC,Pentecost University College,Academic & Science,Universities & Institutions
16094,40,India,PUC,Pre-University Course,Academic & Science,Courses
16095,40,France,PUC,Paris Université Club,Sports & Games,Rugby
16096,40,Worldwide,PUC,Personal Unblocking Code,Technology,Communication
16097,30,Worldwide,PUC,Postal Union Congress,Associations & Organizations,Conferences & Events
16098,10,France,PUC,Paris Université Club,Associations & Organizations,Sports & Recreation Organizations
16099,10,Netherlands,PUC,Pathé Unlimited Card,News & Entertainment,Movies & Film
16100,50,Worldwide,PUE,Power Usage Effectiveness,Computing,General Computing
16101,10,Panama,PUE,Puerto Obaldia Airport,Transport & Travel,Academic Degrees
16102,50,Worldwide,PUK,Personal Unblocking Key,Technology,Communication
16103,30,Iraq,PUK,Patriotic Union of Kurdistan,Governmental,Politics
16104,30,French,PUK,Pukarua Airport,Transport & Travel,Airport Codes
16105,20,Albania,PUK,Partia e Unitetit Kombėtar,Governmental,Politics
16106,30,Worldwide,PUMA,Programmable Universal Machine for Assembly,Technology,Robotics & Automation
16107,20,United,PUMA,People United Means Action,Governmental,Politics
16108,20,India,PUNBUS,Punjab State Bus Stand Management Company,Transport & Travel,Land Transport
16109,80,India,Punjab,"panj (five) + āb (waters), means land of five rivers",Miscellaneous,Etymology (Word Origins)
16110,40,India,PURA,Provision of Urban Amenities to Rural Areas,Governmental,Policies & Programs
16111,30,Worldwide,PURA,Public Utilities Regulatory Analyst,Governmental,Titles
16112,30,United,PURA,Public Utilities Regulatory Authority,Governmental,Departments & Agencies
16113,50,United,PURPA,Public Utility Regulatory Policies Act,Governmental,Rules & Regulations
16114,80,Worldwide,PUS,Public Understanding of Science,Academic & Science,Language & Linguistics
16115,80,Worldwide,PV,Present Value,Business,Finance
16116,70,Worldwide,""">",Photo Voltaic,Academic & Science,Electronics
16117,40,Worldwide,PV,Physical Volume,Computing,General Computing
16118,40,Worldwide,pV,Picovolt,Academic & Science,Units
16119,30,Brazil,PV,Partido Verde,Governmental,Politics
16120,30,Worldwide,PV,Pressure Vessel,Academic & Science,Engineering
16121,30,Worldwide,PV,Pore Volume,Academic & Science,Physics
16122,20,Worldwide,pv,Pathovar,Trees & Plants,Pathogens & Diseases
16123,20,Worldwide,PV,Pemphigus Vulgaris,Medical,Diseases & Conditions
16124,20,Worldwide,PV,Pharmacovigilance,Medical,Medicines & Drugs
16125,20,Worldwide,PV,Polycythemia Vera,Medical,Diseases & Conditions
16126,90,Worldwide,PVC,Polyvinyl Chloride,Academic & Science,Chemistry
16127,60,Worldwide,PVC,Premature Ventricular Contraction,Medical,Anatomy & Physiology
16128,50,India,PVC,Param Vir Chakra,Governmental,Military
16129,40,Worldwide,PVC,Peripheral Venous Catheter,Medical,Healthcare
16130,40,Worldwide,PVC,Pixel Visual Core,Technology,Tech Terms
16131,40,United,PVC,Provincetown Municipal Airport,Transport & Travel,Airport Codes
16132,40,Worldwide,PVC,Pigment Volume Concentration,Academic & Science,Units
16133,30,Worldwide,PVC,PhotoVoltaic Cell,Academic & Science,Electronics
16134,20,Worldwide,PVC,Permanent Virtual Circuit,Computing,Networking
16135,80,Worldwide,PVD,Physical Vapor Deposition,Technology,Tech Terms
16136,70,Worldwide,PVD,Peripheral Vascular Disease,Medical,Diseases & Conditions
16137,70,United,PVD,Providence,Transport & Travel,Railway Station Codes
16138,60,Worldwide,PVD,Posterior Vitreous Detachment,Medical,Diseases & Conditions
16139,40,United,PVD,Theodore Francis Green Memorial State Airport,Transport & Travel,Airport Codes
16140,40,Germany,PVD,Paul van Dy,Society & Culture,Celebrities & Famous
16141,40,Worldwide,PVD,Personal Video Disc,Computing,Data Storage
16142,20,India,PVPSIT,Potluri Vara Prasad Institute of Technology,Academic & Science,Universities & Institutions
16143,80,Worldwide,PVR,Personal Video Recorder,Technology,Instruments & Devices
16144,60,Worldwide,PVR,Pulmonary Vascular Resistance,Medical,Anatomy & Physiology
16145,50,India,PVR,Priya Village Roadshow,Business,Companies & Corporations
16146,40,Worldwide,PVR,Plant Variety Rights,Governmental,Law & Legal
16147,40,Worldwide,PVR,Proliferative VitreoRetinopathy,Medical,Diseases & Conditions
16148,40,Mexico,PVR,Licenciado Gustavo Díaz Ordaz International Airport,Transport & Travel,Airport Codes
16149,40,Worldwide,PVR,Post-Void Residual,Medical,Tests
16150,20,Worldwide,PVR,Polio Virus Receptor,Medical,Biochemistry
16151,40,India,PVSM,Param Vishisht Seva Medal,Governmental,Military
16152,90,Worldwide,Pvt,Private,Academic & Science,Language & Linguistics
16153,30,Worldwide,PVT,Power Video Transmitter,Technology,Instruments & Devices
16154,20,Worldwide,PVT,Psychomotor Vigilance Task,Medical,Tests
16155,20,Worldwide,PVT,Potato Virus T,Trees & Plants,Pathogens & Diseases
16156,20,Worldwide,PVT,Portal Vein Thrombosis,Medical,Diseases & Conditions
16157,70,Worldwide,"Ltd"">",Private Limited,Business,Companies & Corporations
16158,60,Worldwide,PWA,Progressive Web Application,Computing,Internet
16159,40,United,PWA,Wiley Post Airport,Transport & Travel,Airport Codes
16160,40,Worldwide,PWA,Project Web App,Computing,Software & Applications
16161,40,Thailand,PWA,Provincial Waterworks Authority,Governmental,Firms & Organizations
16162,40,Pakistan,PWA,Patients’ Welfare Association,Associations & Organizations,Regional Organizations
16163,40,Worldwide,PWA,Professional Windsurfers Association,Associations & Organizations,Sports & Recreation Organizations
16164,40,Worldwide,PWA,People With AIDS,Medical,Healthcare
16165,40,Worldwide,PWA,Partial Wave Analysis,Academic & Science,Physics
16166,30,Canada,PWA,Pacific Western Airlines,Transport & Travel,Airline Codes
16167,30,Worldwide,PWA,Picasa Web Albums,Computing,Websites
16168,30,United,PWA,Public Works Administration,Governmental,Departments & Agencies
16169,30,India,PWA,Progressive Writers’ Association,Associations & Organizations,Regional Organizations
16170,30,Canada,PWA,Prairie Wrestling Alliance,Associations & Organizations,Sports & Recreation Organizations
16171,30,United,PWA,Pro Wrestling Alliance,Associations & Organizations,Sports & Recreation Organizations
16172,30,Canada,PWA,Pure Wrestling Association,Associations & Organizations,Sports & Recreation Organizations
16173,20,United,PWA,Pro Wrestling America,Associations & Organizations,Sports & Recreation Organizations
16174,20,Worldwide,PWA,People with Autism,Medical,Psychiatry & Mental Health
16175,10,Worldwide,PWA,Pirates With Attitude,Associations & Organizations,Technological Organizations
16176,90,Worldwide,PwC,PricewaterhouseCoopers,Business,Companies & Corporations
16177,80,Worldwide,PWC,Personal Watercraft,Sports & Games,Water Sports
16178,50,Canada,PWC,Pratt & Whitney Canada,Business,Companies & Corporations
16179,50,United,PWC,Prince William County,Regional,States & Districts
16180,40,Australia,PWC,Power and Water Corporation,Governmental,Firms & Organizations
16181,40,Worldwide,PWC,Paragliding World Cup,Sports & Games,Outdoor & Adventure
16182,40,Worldwide,PWC,Pembroke Welsh Corgi,Animal Kingdom,Pets & Domesticated
16183,20,Sri,PWC,Prince of Wales’ College,Academic & Science,Universities & Institutions
16184,10,Canada,PWC,Prince of Wales College,Academic & Science,Universities & Institutions
16185,90,Worldwide,PWD,Public Works Department,Governmental,Departments & Agencies
16186,50,Worldwide,pwd,Print Working Directory,Computing,Commands
16187,20,Canada,PWQO,Provincial Water Quality Objectives,Governmental,Standards
16188,60,Worldwide,PWR,Pressurized Water Reactor,Technology,Energy & Recycling
16189,50,Worldwide,PWR,Power,Academic & Science,Electronics
16190,20,United,PWR,Port Walter Airport,Transport & Travel,Airport Codes
16191,10,Worldwide,PWR,Power Wirewound Resistor,Academic & Science,Electrical
16192,90,Worldwide,Python,"name after the television series, Monty Python’s Flying Circus",Computing,Programming Languages
16193,10,United,PZEV,Partial Zero Emission Vehicle,Technology,Automotive
16194,100,Worldwide,Q&amp;A,Questions and Answers,Miscellaneous,Chat & Messaging
16195,30,Worldwide,Q-carbon,Quenched-carbon,Technology,Tech Terms
16196,60,Worldwide,Q1,First Quarter,Business,Business Terms
16197,60,Worldwide,Q2,Second Quarter,Business,Business Terms
16198,30,Worldwide,Q2,Quake II,Computing,Games & Entertainment
16199,60,Worldwide,Q3,Third Quarter,Business,Business Terms
16200,40,Worldwide,Q3,Quake III,Computing,Games & Entertainment
16201,60,Worldwide,Q4,Fourth Quarter,Business,Business Terms
16202,50,Worldwide,Q4,Quake 4,Computing,Games & Entertainment
16203,80,Worldwide,QA,Quality Assurance,Business,Business Terms
16204,70,Qatar,QA,Qatar,Regional,Countries
16205,40,Qatar,QA,Qatar Academy,Academic & Science,Universities & Institutions
16206,40,Qatar,qa,Qatar (TLD),Computing,Domain Names (TLD)
16207,30,Denmark,QA,Cimber,Transport & Travel,Airline Codes
16208,10,Mexico,QA,Aerocaribe,Transport & Travel,Airline Codes
16209,50,Worldwide,QBasic,Quick Beginner’s All-Purpose Symbolic Instruction Code,Computing,Programming Languages
16210,20,India,QBurst,"named after “Quasar Bursts”, which are the brightest electromagnetic events occur in the universe",Business,Companies & Corporations
16211,70,Worldwide,QCM,Quality Control Manager,Business,Job Titles
16212,20,Worldwide,QCM,Quartz Crystal Microbalance,Technology,Tech Terms
16213,70,Worldwide,QED,Quod Erat Demonstrandum,Academic & Science,Mathematics
16214,40,Worldwide,QED,Quantum Explosion Dynamo,Computing,Games & Entertainment
16215,30,Worldwide,QED,Quantum Electrodynamics,Academic & Science,Physics
16216,70,China,QFII,Qualified Foreign Institutional Investor,Business,Stock Market
16217,50,United,QGC,Questar Gas Company,Business,Companies & Corporations
16218,50,Worldwide,QHD,Quad High Definition,Technology,Display & Graphics
16219,40,Worldwide,qHD,quarter High definition,Technology,Display & Graphics
16220,30,Worldwide,QHD,Quantum Hydrodynamics,Academic & Science,Physics
16221,30,Worldwide,QHD,Quarter Horse Directory,Animal Kingdom,Pets & Domesticated
16222,40,United,QHI,Qualified Helicopter Instructor,Technology,Airplanes & Aircraft
16223,50,United,QHS,Quincy High School,Academic & Science,Universities & Institutions
16224,80,Worldwide,QIC,Quarter - Inch Cartridge,Computing,Data Storage
16225,80,Worldwide,QIF,Quicken Interchange Format,Computing,File Extensions
16226,40,Worldwide,QLED,Quantum dot Light Emitting Diode,Technology,Display & Graphics
16227,70,Worldwide,QMS,Quality Management System,Business,Business Operations
16228,50,Worldwide,QNX,QNX is Not Unix,Computing,Software & Applications
16229,80,Worldwide,QoS,Quality of Service,Computing,Networking
16230,40,United,QoS,Queen of the South,Associations & Organizations,Sports & Recreation Organizations
16231,20,Australia,QPILCH,Queensland Public Interest Law Clearing House,Associations & Organizations,Regional Organizations
16232,60,United,QPR,Queens Park Rangers,Sports & Games,Football
16233,50,Worldwide,QPR,Quality-Price Ratio,Society & Culture,Food & Drink
16234,30,Worldwide,QPR,"Question, Persuade and Refer",Medical,Psychiatry & Mental Health
16235,100,Worldwide,"Code"">",Quick Response Code,Computing,General Computing
16236,70,Worldwide,QRS,"an electrocardiographic complex consisting of the Q, R, and S waves",Medical,Tests
16237,30,India,QRS,Quilon Radio Service,Business,Companies & Corporations
16238,30,Worldwide,QRS,Quantron/Quantum Resonance System,Medical,Instruments & Equipment
16239,30,Worldwide,QTP,Quick Test Professional,Computing,Software & Applications
16240,20,China,QTP,Qinghai-Tibetan Plateau,Regional,Landscapes
16241,20,Worldwide,QTP,Quetiapine,Medical,Medicines & Drugs
16242,90,Worldwide,Qty,Quantity,Academic & Science,Units
16243,70,Worldwide,Qualcomm,Quality Communications,Business,Companies & Corporations
16244,40,Worldwide,Qubit,Quantum bit,Academic & Science,Units
16245,30,Worldwide,QUIC,Quick UDP Internet Connections,Computing,Protocols
16246,30,Canada,QUIC,Queen’s University International Centre,Associations & Organizations,Educational Organizations
16247,20,United,QuIC,Quality Interagency Coordination,Associations & Organizations,Medical Organizations
16248,20,Canada,QUIC,Queen’s University Investment Counsel,Associations & Organizations,Educational Organizations
16249,10,Worldwide,QUIC,Quick Urban & Industrial Complex,Computing,Software & Applications
16250,100,Worldwide,Quora,QUestion OR Answer,Computing,Internet
16251,40,Worldwide,QVC,Quality Value Convenience,News & Entertainment,TV & Radio
16252,30,Qatar,QVC,Qatar Vinyl Company,Business,Companies & Corporations
16253,40,Worldwide,QVL,Qualified Vendor List,Business,Products
16254,20,Italy,QVL,Quella Vecchia Locanda,News & Entertainment,Music
16255,80,Worldwide,QWERTY,"Standard keyboard/typewriter layout, order of the first six keys on the top left letter row of the keyboard",Computing,General Computing
16256,50,Japan,QZSS,Quasi-Zenith Satellite System,Technology,Tech Terms
16257,70,Worldwide,R&amp;B,Rhythm & Blues,News & Entertainment,Music
16258,40,United,R&amp;B,Reed & Barton,Business,Companies & Corporations
16259,100,Worldwide,R&amp;D,Research and Development,Academic & Science,Research & Development
16260,40,United,R-Calif,Republican from California,Governmental,Politics
16261,60,Worldwide,R0,Reproduction number,Medical,Diseases & Conditions
16262,20,Worldwide,R0,Record 0,Computing,Data Storage
16263,30,Worldwide,R143A,Trifluoroethane,Academic & Science,Chemistry
16264,30,India,RABMN,Remote Area Business Message Network,Technology,Communication
16265,50,Worldwide,RAC,Rent A Car,Transport & Travel,Land Transport
16266,40,United,RAC,Royal Agricultural College,Academic & Science,Universities & Institutions
16267,30,United,RAC,Royal Automobile Club,Regional,Societies & Clubs
16268,30,United,RAC,Religious Action Center,Regional,Societies & Clubs
16269,20,United,RAC,Royal Armoured Corps,Governmental,Military
16270,20,India,RAC,Reservation Against Cancellation,Transport & Travel,Rail Transport
16271,20,United,RAC,Recovery Audit Contractor,Governmental,Policies & Programs
16272,10,India,RAC,Rajasthan Armed Constabulary,Governmental,Police
16273,10,United,RAC,Republic Aviation Corporation,Business,Companies & Corporations
16274,10,Japan,RAC,Ryukyu Air Commuter,Technology,Airplanes & Aircraft
16275,40,United,RADA,Royal Academy of Dramatic Art,Academic & Science,Universities & Institutions
16276,30,Worldwide,RADA,Random Access Discrete Address,Technology,Communication
16277,30,Jamaica,RADA,Rural Agricultural Development Authority,Governmental,Departments & Agencies
16278,10,Worldwide,RADA,Remote Access Discovery Agent,Computing,Hardware
16279,10,United,RADA,Raleigh Area Development Authority,Associations & Organizations,Regional Organizations
16280,60,Worldwide,RADAR,RAdio Detection And Ranging,Technology,Tech Terms
16281,30,Australia,RADAR,Register of Australian Drug and Alcohol Research,Associations & Organizations,Regional Organizations
16282,20,United,RADAR,Royal Association for Disability Rights,Associations & Organizations,Regional Organizations
16283,10,Australia,RADAR,Rational Assessment of Drugs and Research,Medical,Medicines & Drugs
16284,100,Worldwide,Radio,Orginated from wireless telegraphy,Technology,Instruments & Devices
16285,50,United,RAF,Royal Air Force,Governmental,Military
16286,40,India,RAF,Rapid Action Force,Governmental,Weapons & Forces
16287,20,South,RAF,Road Accident Fund,Governmental,Departments & Agencies
16288,60,Worldwide,RAID,Redundant Array of Independent Disks,Computing,Data Storage
16289,40,Worldwide,RAID,Rapid Aerostat Initial Deployment,Governmental,Security & Defence
16290,50,India,RAJ,Rajkot Airport,Transport & Travel,Airport Codes
16291,70,United,RAK,Ras Al-Khaimah,Regional,States & Districts
16292,40,Worldwide,RAK,Ras Al Khaimah,Business,Companies & Corporations
16293,30,Morocco,RAK,Marrakech Menara Airport,Transport & Travel,Airport Codes
16294,30,Worldwide,RAK,Random Act of Kindness,Miscellaneous,Chat & Messaging
16295,20,India,RAK,Ramkot Railway Station,Transport & Travel,IRCTC Station Codes
16296,100,Worldwide,RAM,Random Access Memory,Computing,General Computing
16297,70,Morocco,RAM,Royal Air Maroc,Transport & Travel,Airline Codes
16298,50,Worldwide,RAM,Rolling Airframe Missile,Governmental,Weapons & Forces
16299,40,United,RAM,Royal Academy of Music,Academic & Science,Universities & Institutions
16300,10,New,RAM,Residents Action Movement,Governmental,Politics
16301,30,Worldwide,RAMDAC,Random Access Memory Digital-to-Analog Converter,Technology,Display & Graphics
16302,70,Worldwide,RAR,Roshal ARchive,Computing,File Extensions
16303,20,Worldwide,RAR,Retinoic Acid Receptor,Medical,Biochemistry
16304,10,Australia,RAR,Royal Australian Regiment,Governmental,Weapons & Forces
16305,20,Worldwide,RARP,Reverse Address Resolution Protocol,Computing,Protocols
16306,60,Worldwide,RAS,Remote Access Services,Computing,Networking
16307,40,Worldwide,RAS,Renin-Angiotensin System,Medical,Anatomy & Physiology
16308,30,Russian,RAS,Russian Academy of Sciences,Academic & Science,Research & Development
16309,20,Worldwide,RAS,Reticular Activating System,Medical,Anatomy & Physiology
16310,20,Worldwide,RAS,Renal Artery Stenosis,Medical,Diseases & Conditions
16311,20,United,RAS,Royal Astronomical Society,Associations & Organizations,Regional Organizations
16312,50,Worldwide,RAT,Remote Access Trojan,Computing,Security
16313,30,Worldwide,RAT,Rock Abrasion Tool,Academic & Science,Astronomy & Space Science
16314,30,Worldwide,RAT,Ram Air Turbine,Technology,Airplanes & Aircraft
16315,20,Russian,RAT,Raduzhny Airport,Transport & Travel,Airport Codes
16316,10,Worldwide,RAT,Router Audit Tool,Computing,Networking
16317,60,Worldwide,RAW,RAW file format,Computing,File Extensions
16318,50,India,RAW,Research and Analysis Wing,Governmental,Security & Defence
16319,50,United,RaW,Radio Warwick,News & Entertainment,TV & Radio
16320,30,Worldwide,RAW,Read After Write,Computing,Data Storage
16321,20,Worldwide,RAW,Rear Axle Weight,Transport & Travel,Land Transport
16322,10,Papua,RAW,Arawa Airport,Transport & Travel,Airport Codes
16323,80,Worldwide,RBC,Red Blood Cell,Medical,Anatomy & Physiology
16324,50,Worldwide,RBG,Random Blood Glucose,Medical,Tests
16325,10,New,RBG,Rhema Broadcasting Group,Associations & Organizations,Regional Organizations
16326,90,India,RBI,Reserve Bank of India,Business,Banking
16327,60,Worldwide,RBI,Risk Based Inspection,Business,Business Terms
16328,50,Austria,RBI,Raiffeisen Bank International,Business,Banking
16329,40,Croatia,RBI,Ruđer Bošković Institute,Academic & Science,Research & Development
16330,40,Worldwide,RBI,Restaurant Brands International,Business,Companies & Corporations
16331,40,United,RBI,Reviving Baseball in Inner Cities,Associations & Organizations,Sports & Recreation Organizations
16332,20,Germany,RBI,Radio Berlin International,News & Entertainment,TV & Radio
16333,20,Worldwide,RBI,Relative Bearing Indicator,Transport & Travel,Air Transport
16334,60,Worldwide,RBL,Real-time Blackhole List,Computing,Internet
16335,50,India,RBL,Ratnakar Bank Limited,Business,Banking
16336,50,United,RBL,Royal British Legion,Associations & Organizations,Regional Organizations
16337,40,Worldwide,RBL,Rat Basophilic Leukemia,Medical,Biochemistry
16338,40,Germany,RBL,RasenBallsport Leipzig,Sports & Games,Football
16339,40,Trinidad,RBL,Republic Bank Limited,Business,Banking
16340,40,Australia,RBL,Reasonable Benefit Limit,Governmental,Rules & Regulations
16341,40,India,RBL,Rae Bareli Junction railway station,Transport & Travel,Rail Transport
16342,40,Worldwide,RBL,Reserve Based Lending,Business,Finance
16343,30,United,RBL,Ruthless by Law,Arts,Musical groups
16344,30,Worldwide,RBL,Rifled Breech Loader,Governmental,Military
16345,30,Worldwide,RBL,Rubber Band Ligation,Medical,Treatments & Procedures
16346,30,United,RBL,Red Bluff Municipal Airport,Transport & Travel,Airport Codes
16347,20,Canada,RBL,Rogers Broadcasting Limited,Business,Companies & Corporations
16348,10,United,RBL,Research Bureau Limited,Business,Companies & Corporations
16349,60,United,RBS,Royal Bank of Scotland,Business,Banking
16350,30,Worldwide,RBS,Radio Base Station,Business,Patents & Trademarks
16351,90,Worldwide,RC,Radio Control,Technology,Robotics & Automation
16352,70,Worldwide,RC,Remote Control,Technology,Instruments & Devices
16353,60,Worldwide,RC,Release Candidate,Computing,Software & Applications
16354,60,Worldwide,RC,Reinforced Concrete,Academic & Science,Architecture & Constructions
16355,60,Worldwide,RC,Roman Catholic,Society & Culture,Religion & Spirituality
16356,50,Worldwide,RC,Registration Certificate,Governmental,Documents & Certificates
16357,50,Worldwide,rc,Run Commands,Computing,File Extensions
16358,50,Worldwide,RC,Resistor–Capacitor,Academic & Science,Electronics
16359,50,Worldwide,RC,Runs Created,Sports & Games,Baseball
16360,40,Worldwide,RC,Rivest’s Cipher/Ron’s Code,Computing,Security
16361,40,Worldwide,RC,Reconfigurable Computing,Computing,General Computing
16362,40,Worldwide,RC,Rubik’s Cube,Sports & Games,Other Games
16363,40,Worldwide,RC,Royal Commission,Governmental,Departments & Agencies
16364,40,Brazil,RC,Roberto Carlos,Society & Culture,Celebrities & Famous
16365,40,Faroe,RC,Atlantic Airways,Transport & Travel,Airline Codes
16366,40,Worldwide,RC,Relative Clause,Academic & Science,Language & Linguistics
16367,40,Worldwide,RC,Research Chemical,Academic & Science,Chemistry
16368,40,Worldwide,RC,Reverse Circulation,Technology,Tech Terms
16369,30,Worldwide,RC,Roundcube,Computing,Internet
16370,30,Canada,RC,Renaissance College,Academic & Science,Universities & Institutions
16371,30,Worldwide,RC,Reflection Coefficient,Academic & Science,Electrical
16372,30,Worldwide,RC,Ritchey–Chrétien,Academic & Science,Astronomy & Space Science
16373,20,United,RC,Roanoke College,Academic & Science,Universities & Institutions
16374,20,Turkey,RC,Robert College,Academic & Science,Universities & Institutions
16375,20,Canada,RC,Ridley College,Academic & Science,Universities & Institutions
16376,20,Philippines,RC,Riverside College,Academic & Science,Universities & Institutions
16377,20,Italy,RC,Civil Revolution,Governmental,Politics
16378,20,Myanmar,RC,Revolutionary Council,Governmental,Departments & Agencies
16379,20,United,RC,Re-Evaluation Counseling,Associations & Organizations,Regional Organizations
16380,20,United,RC,Richard Childress,Society & Culture,Celebrities & Famous
16381,20,India,RC,Royal Challengers,Sports & Games,Cricket
16382,10,Worldwide,RC,RigidChips,Computing,Games & Entertainment
16383,10,Canada,RC,Rogers Centre,Regional,Buildings & Landmarks
16384,60,United,RCA,Radio Corporation of America,Business,Companies & Corporations
16385,40,United,RCA,Royal College of Art,Academic & Science,Universities & Institutions
16386,40,Worldwide,RCA,Root Cause Analysis,Academic & Science,Research & Development
16387,30,Worldwide,RCA,Radio Corporation of America,Academic & Science,Electronics
16388,20,United,RCA,Reformed Church in America,Society & Culture,Religion & Spirituality
16389,20,Worldwide,RCA,Right Coronary Artery,Medical,Anatomy & Physiology
16390,80,India,RCB,Royal Challengers Bangalore,Sports & Games,Cricket
16391,50,Worldwide,RCB,Reinforced Concrete Box,Academic & Science,Architecture & Constructions
16392,40,United,RCB,Robinson College of Business,Academic & Science,Universities & Institutions
16393,40,India,RCB,Regional Centre for Biotechnology,Academic & Science,Universities & Institutions
16394,30,Worldwide,RCB,Residual Current Breaker,Academic & Science,Electrical
16395,20,France,RCB,Reims Champagne Basket,Sports & Games,Basketball
16396,20,South,RCB,Richards Bay Airport,Transport & Travel,Airport Codes
16397,40,India,RCBS,Rajagiri Centre for Business Studies,Academic & Science,Universities & Institutions
16398,30,China,RCBS,Kinmen Airport,Transport & Travel,Airport Codes
16399,20,Thailand,RCBS,Rotary Club of Bangkok South,Associations & Organizations,Regional Organizations
16400,20,United,RCBS,River City Business Services,Business,Companies & Corporations
16401,10,Ireland,RCBS,Rathfarnham Concert Band Society,Associations & Organizations,Regional Organizations
16402,0,United,RCBS,Richard Campos Business Support,Business,Companies & Corporations
16403,80,Worldwide,RCC,Renal Cell Carcinoma,Medical,Diseases & Conditions
16404,60,Worldwide,RCC,Reinforced Cement Concrete,Academic & Science,Architecture & Constructions
16405,60,Worldwide,RCC,Roller-Compacted Concrete,Academic & Science,Architecture & Constructions
16406,50,Worldwide,RCC,Remote Center Compliance,Technology,Robotics & Automation
16407,50,Worldwide,RCC,Regional Cooperation Council,Associations & Organizations,International Orgaizations
16408,50,United,RCC,Riverside City College,Academic & Science,Universities & Institutions
16409,40,Worldwide,RCC,Radio Common Carrier,Technology,Communication
16410,40,India,RCC,Regional Cancer Centre,Medical,Hospitals
16411,40,Worldwide,RCC,Radio-Controlled Clock,Technology,Tech Terms
16412,40,Worldwide,RCC,Ringing Choke Converter,Academic & Science,Electronics
16413,40,Worldwide,RCC,Reinforced Carbon-Carbon,Academic & Science,Engineering
16414,40,Worldwide,RCC,Rescue Co-ordination Centre,Associations & Organizations,Regional Organizations
16415,40,Worldwide,RCC,Roman Catholic Church,Associations & Organizations,Religious Organizations
16416,40,Canada,RCC,Radio College of Canada,Academic & Science,Universities & Institutions
16417,40,United,RCC,Rockingham Community College,Academic & Science,Universities & Institutions
16418,40,United,RCC,Rockland Community College,Academic & Science,Universities & Institutions
16419,40,United,RCC,Rogue Community College,Academic & Science,Universities & Institutions
16420,40,United,RCC,Roxbury Community College,Academic & Science,Universities & Institutions
16421,40,United,RCC,Redcar Central,Transport & Travel,Railway Station Codes
16422,40,Worldwide,RCC,Region-Connection Calculus,Computing,Programming & Development
16423,40,Worldwide,RCC,River Continuum Concept,Regional,Streams & Waterways
16424,30,Egypt,RCC,Revolutionary Command Council,Governmental,Politics
16425,30,Iraq,RCC,Revolutionary Command Council,Governmental,Politics
16426,30,Libya,RCC,Revolutionary Command Council,Governmental,Politics
16427,30,Germany,RCC,Rachel Carson Center,Academic & Science,Research & Development
16428,10,Worldwide,RCC,Recompression Chamber,Technology,Tech Terms
16429,10,Philippines,RCC,Recaredo Castillo College,Academic & Science,Universities & Institutions
16430,10,United,RCC,Royal College of Chemistry,Academic & Science,Universities & Institutions
16431,10,Mauritius,RCC,Royal College Curepipe,Academic & Science,Universities & Institutions
16432,70,Worldwide,RCCB,Residual-Current Circuit Breaker,Academic & Science,Electrical
16433,20,Worldwide,RCCB,Radiology Coding Certification Board,Associations & Organizations,Professional Associations
16434,80,Worldwide,RCEP,Regional Comprehensive Economic Partnership,Governmental,Policies & Programs
16435,40,Worldwide,RCEP,Registered Clinical Exercise Physiologist,Medical,Healthcare
16436,40,United,RCEP,Regional Centre for Educational Planning,Associations & Organizations,Educational Organizations
16437,30,United,RCEP,Royal Commission on Environmental Pollution,Governmental,Departments & Agencies
16438,80,Worldwide,RCM,Reliability-Centered Maintenance,Business,Business Terms
16439,70,United,RCM,Royal College of Midwives,Associations & Organizations,Medical Organizations
16440,70,Canada,RCM,Royal Canadian Mint,Governmental,Departments & Agencies
16441,70,Worldwide,RCM,Rotor Current Meter,Academic & Science,Ocean Science
16442,60,United,RCM,Revenue Cycle Management,Medical,Healthcare
16443,60,Worldwide,RCM,Ring-Closing Metathesis,Academic & Science,Chemistry
16444,50,Worldwide,RCM,Rapid Communications in Mass Spectrometry,News & Entertainment,Journals & Publications
16445,50,Worldwide,RCM,Restrictive Cardiomyopathy,Medical,Diseases & Conditions
